BTR,WAS,10
BTR,EFD,39
BTR,HOU,36
BTR,IAH,1547
BTR,DAL,163
BTR,EWR,79
BTR,HPN,3
BTR,ISP,1
BTR,JFK,14
BTR,LGA,112
BTR,SWF,1
BUF,BUR,1399
BUF,BWI,42132
BUF,DCA,13550
BUF,DTW,187
BUF,EWR,25461
BUF,FLL,41057
BUF,HPN,263
BUF,IAD,3839
BUF,ISP,1119
BUF,JFK,92981
BUF,LAX,23603
BUF,LGA,41158
BUF,MDW,15870
BUF,MIA,7800
BUF,ONT,2879
BUF,ORD,31933
BUF,SNA,4160
BUF,SWF,188
BUF,TPA,45093
BUF,MHT,1645
BUF,PVD,2589
BUF,CHI,8
BUF,MCO,2233
BUF,NYC,9
BUF,RSW,342
BUF,WAS,6
BUF,DFW,12256
BUF,DAL,1421
BUF,LGB,630
BUF,OAK,2688
BUF,SFO,10887
BUF,SJC,3159
BUF,PHX,11712
BUF,HOU,3494
BUF,IAH,5274
BUF,EFD,1
BUF,LAS,1322
BUR,BWI,4564
BUR,DCA,1772
BUR,EWR,2585
BUR,FLL,1490
BUR,GEG,7353
BUR,IAD,2073
BUR,ICT,838
BUR,JFK,30223
BUR,LGA,1748
BUR,MAF,16
BUR,MCO,3504
BUR,MEM,549
BUR,MIA,554
BUR,MKE,1297
BUR,MSP,2842
BUR,MSY,2346
BUR,OAK,193681
BUR,OKC,3274
BUR,OMA,3657
BUR,ORF,549
BUR,PBI,274
BUR,PDX,41611
BUR,PHL,3150
BUR,PHX,87269
BUR,PIT,1992
BUR,RDU,2274
BUR,RIC,420
BUR,RNO,13711
BUR,ROC,225
BUR,SAN,12
BUR,SAT,4430
BUR,SDF,1615
BUR,SEA,67725
BUR,SFO,61679
BUR,SJC,104741
BUR,SLC,17197
BUR,SMF,118691
BUR,STL,4261
BUR,TPA,2501
BUR,TUL,2865
BUR,TUS,3666
BUR,CLE,1863
BUR,CLT,1508
BUR,CMH,3243
BUR,COS,1170
BUR,CVG,307
BUR,DAY,281
BUR,DEN,23347
BUR,DET,17
BUR,DFW,19312
BUR,DSM,939
BUR,DTW,3348
BUR,ELP,3649
BUR,EUG,2150
BUR,FAT,6
BUR,HOU,4317
BUR,HSV,32
BUR,IAH,3185
BUR,IND,2916
BUR,JAX,709
BUR,LAS,130960
BUR,LIT,1394
BUR,MCI,4397
BUR,MDW,3831
BUR,ORD,4205
BUR,PVD,895
BUR,RSW,183
BUR,FSD,2
BUR,SWF,7
BUR,GRR,262
BUR,MHT,513
BUR,GSO,51
BUR,MFR,1162
BUR,EGE,1
BUR,HPN,26
BUR,DAL,2983
BUR,ISP,315
BUR,MSN,80
BUR,PHF,26
BUR,CAK,41
BUR,PSC,182
BUR,MRY,20
BUR,CHS,90
BUR,RDM,323
BUR,STS,10
BUR,BZN,78
BUR,SGF,29
BUR,CHI,1
BUR,MDT,3
BUR,SAC,2
BUR,SYR,191
BUR,JAN,46
BUR,XNA,67
BUR,MSO,81
BUR,PAE,18
BUR,LBB,8
BUR,FCA,39
BUR,TYS,3
BWI,PBI,37694
BWI,CAE,3922
BWI,CAK,750
BWI,CHI,13
BWI,CHS,17070
BWI,CLE,58840
BWI,CLT,53257
BWI,CMH,35426
BWI,COS,7175
BWI,CVG,16164
BWI,DAB,287
BWI,DAY,16763
BWI,DEN,77625
BWI,DFW,74178
BWI,DSM,4685
BWI,DTW,75453
BWI,EFD,305
BWI,ELP,9784
BWI,EWR,6033
BWI,FLL,133561
BWI,GSO,3112
BWI,GSP,5203
BWI,HOU,40801
BWI,HPN,996
BWI,HSV,9634
BWI,IAH,48212
BWI,IND,35662
